"timestep","pft","prop_agents"
130,"diatom_prop",18.8432835820896
131,"diatom_prop",18.5046728971963
132,"diatom_prop",18.2495344506518
133,"diatom_prop",18.1985294117647
134,"diatom_prop",18.3970856102004
135,"diatom_prop",18.1818181818182
136,"diatom_prop",18.2640144665461
137,"diatom_prop",18.8405797101449
138,"diatom_prop",19.3490054249548
139,"diatom_prop",19.2377495462795
140,"diatom_prop",18.6379928315412
141,"diatom_prop",18.4397163120567
142,"diatom_prop",18.6379928315412
143,"diatom_prop",18.2468694096601
144,"diatom_prop",18.2142857142857
145,"diatom_prop",17.8010471204188
146,"diatom_prop",18.0385288966725
147,"diatom_prop",18.1347150259067
148,"diatom_prop",17.8509532062392
149,"diatom_prop",17.8387650085763
150,"diatom_prop",17.5767918088737
151,"diatom_prop",18.0272108843537
152,"diatom_prop",17.8875638841567
153,"diatom_prop",18.3673469387755
154,"diatom_prop",18.3986371379898
155,"diatom_prop",18.0102915951973
156,"diatom_prop",18.4300341296928
157,"diatom_prop",18.4745762711864
158,"diatom_prop",18.6046511627907
159,"diatom_prop",18.3471074380165
160,"diatom_prop",18.3168316831683
161,"diatom_prop",18.657937806874
162,"diatom_prop",18.2410423452769
163,"diatom_prop",17.9902755267423
164,"diatom_prop",18.5483870967742
165,"diatom_prop",18.2410423452769
166,"diatom_prop",18.4466019417476
167,"diatom_prop",18.4294871794872
168,"diatom_prop",18.1240063593005
169,"diatom_prop",18.7301587301587
170,"diatom_prop",18.6413902053712
171,"diatom_prop",19.1522762951334
172,"diatom_prop",18.7106918238994
173,"diatom_prop",19.1455696202532
174,"diatom_prop",18.9147286821705
175,"diatom_prop",19.0251572327044
176,"diatom_prop",18.2103610675039
177,"diatom_prop",17.9289026275116
178,"diatom_prop",18.59375
179,"diatom_prop",18.266253869969
180,"diatom_prop",18.3206106870229
181,"diatom_prop",18.6081694402421
182,"diatom_prop",18.6846038863976
183,"diatom_prop",18.141592920354
184,"diatom_prop",18.887262079063
185,"diatom_prop",19.5936139332366
186,"diatom_prop",19.3083573487032
187,"diatom_prop",18.830242510699
188,"diatom_prop",18.7060478199719
189,"diatom_prop",19.0807799442897
190,"diatom_prop",19.2468619246862
191,"diatom_prop",19.7202797202797
192,"diatom_prop",20.0280112044818
193,"diatom_prop",20.0280112044818
194,"diatom_prop",19.8060941828255
195,"diatom_prop",19.5833333333333
196,"diatom_prop",19.7513812154696
197,"diatom_prop",19.1988950276243
198,"diatom_prop",19.4822888283379
199,"diatom_prop",19.3989071038251
200,"diatom_prop",19.4369973190349
201,"diatom_prop",19.3377483443709
202,"diatom_prop",19.2913385826772
203,"diatom_prop",19.2207792207792
