"timestep","pft","num_agents"
416,"diatom",5.95
417,"diatom",5.9
418,"diatom",5.9
419,"diatom",5.7
420,"diatom",5.7
421,"diatom",5.95
422,"diatom",6.1
423,"diatom",5.95
424,"diatom",6.1
425,"diatom",6.05
426,"diatom",5.9
427,"diatom",6.1
428,"diatom",6.15
429,"diatom",6.05
430,"diatom",6.15
431,"diatom",6.05
432,"diatom",6.15
433,"diatom",6.15
434,"diatom",6.3
435,"diatom",6.3
436,"diatom",6.3
437,"diatom",6.4
438,"diatom",6.55
439,"diatom",6.6
440,"diatom",6.8
441,"diatom",6.8
442,"diatom",7
443,"diatom",7.1
444,"diatom",7.15
445,"diatom",6.9
446,"diatom",6.9
447,"diatom",6.8
448,"diatom",6.95
449,"diatom",7
450,"diatom",7.15
451,"diatom",7.4
452,"diatom",7.25
453,"diatom",7.4
454,"diatom",7.2
455,"diatom",7.35
456,"diatom",7.4
457,"diatom",7.5
458,"diatom",7.45
459,"diatom",7.45
460,"diatom",7.3
461,"diatom",7.55
462,"diatom",7.65
463,"diatom",7.65
464,"diatom",7.9
465,"diatom",7.65
466,"diatom",7.6
467,"diatom",7.4
468,"diatom",7.35
469,"diatom",7.4
470,"diatom",7.55
471,"diatom",7.55
472,"diatom",7.6
473,"diatom",7.6
474,"diatom",7.35
475,"diatom",7.5
476,"diatom",7.4
477,"diatom",7.55
478,"diatom",7.5
479,"diatom",7.65
480,"diatom",7.75
481,"diatom",7.85
482,"diatom",7.9
483,"diatom",7.85
484,"diatom",8
485,"diatom",8.2
486,"diatom",8.1
487,"diatom",8.1
488,"diatom",8.2
489,"diatom",7.95
490,"diatom",8.05
491,"diatom",8.05
492,"diatom",8.05
493,"diatom",8.05
494,"diatom",7.95
495,"diatom",8.1
496,"diatom",8.15
497,"diatom",8.25
498,"diatom",8.15
499,"diatom",8.35
500,"diatom",8.3
501,"diatom",8.35
502,"diatom",8.25
503,"diatom",8.2
504,"diatom",8.2
505,"diatom",8.25
506,"diatom",8.25
507,"diatom",8.35
508,"diatom",8.35
509,"diatom",8.35
510,"diatom",8.4
511,"diatom",8.35
512,"diatom",8.4
513,"diatom",8.5
514,"diatom",8.25
515,"diatom",8.15
516,"diatom",8.15
517,"diatom",8.35
518,"diatom",8.25
519,"diatom",8.25
520,"diatom",8.35
521,"diatom",8.4
522,"diatom",8.5
523,"diatom",8.5
524,"diatom",8.3
525,"diatom",8.15
526,"diatom",8.35
527,"diatom",8.4
528,"diatom",8.5
529,"diatom",8.6
530,"diatom",8.55
531,"diatom",8.7
532,"diatom",8.6
533,"diatom",8.55
534,"diatom",8.45
535,"diatom",8.4
536,"diatom",8.75
537,"diatom",8.6
538,"diatom",8.65
539,"diatom",8.65
540,"diatom",8.6
541,"diatom",8.9
542,"diatom",8.9
543,"diatom",8.95
544,"diatom",8.9
545,"diatom",8.85
546,"diatom",8.95
547,"diatom",9
548,"diatom",9.25
549,"diatom",9.15
550,"diatom",9.55
551,"diatom",9.45
552,"diatom",9.75
553,"diatom",9.9
554,"diatom",9.9
555,"diatom",10.05
556,"diatom",9.95
557,"diatom",10.3
558,"diatom",10.4
559,"diatom",10.5
560,"diatom",10.65
561,"diatom",10.55
562,"diatom",10.7
563,"diatom",10.7
564,"diatom",10.75
565,"diatom",10.7
566,"diatom",10.7
567,"diatom",10.7
568,"diatom",10.7
569,"diatom",10.75
570,"diatom",11.05
571,"diatom",10.95
572,"diatom",10.95
573,"diatom",11.05
574,"diatom",11.35
575,"diatom",11.4
576,"diatom",11.2
577,"diatom",11.45
578,"diatom",11.7
579,"diatom",11.5
580,"diatom",11.45
581,"diatom",11.3
582,"diatom",11.5
583,"diatom",11.65
584,"diatom",11.8
585,"diatom",11.85
586,"diatom",11.9
587,"diatom",11.9
588,"diatom",12.25
589,"diatom",12.3
590,"diatom",12.3
591,"diatom",12.15
592,"diatom",12.1
593,"diatom",12.15
594,"diatom",12.2
595,"diatom",12.35
596,"diatom",12.45
597,"diatom",12.4
598,"diatom",12.7
599,"diatom",12.95
600,"diatom",12.85
601,"diatom",13.05
602,"diatom",13.2
603,"diatom",13.2
604,"diatom",13.25
605,"diatom",13.05
606,"diatom",12.9
607,"diatom",12.95
608,"diatom",13.2
609,"diatom",12.9
610,"diatom",13.25
611,"diatom",12.9
612,"diatom",13.05
613,"diatom",13.2
614,"diatom",13.1
615,"diatom",13.1
616,"diatom",13.45
617,"diatom",13.5
618,"diatom",13.4
619,"diatom",13.05
620,"diatom",13.05
621,"diatom",12.95
622,"diatom",13.1
623,"diatom",13
624,"diatom",13.4
625,"diatom",13.35
626,"diatom",13.45
627,"diatom",13.65
628,"diatom",13.75
629,"diatom",13.65
630,"diatom",13.75
631,"diatom",13.7
632,"diatom",13.65
633,"diatom",13.7
634,"diatom",13.85
635,"diatom",13.95
636,"diatom",14.05
637,"diatom",14.1
638,"diatom",14.05
639,"diatom",14.15
640,"diatom",13.95
641,"diatom",14.4
642,"diatom",14
643,"diatom",14.05
