"Depth_m","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
1.6,0.59951201285862,0.612661817709709,0.603835572784108,0.603217237073352,0.614045078910606,0.626830349850995,0.638708956450424,0.644107386209741,0.62026838187826,0.60801697264293,0.596546377270801,0.585130635277552,0.573793418715095,0.562530417069107,0.551338271848697,0.540205156758669,0.529146023928424,0.518164979221607,0.507263071237082,0.513440728683348,0.519483516812954,0.531386711069502,0.543273923799922,0.555138756837246
1.7,0.6086006030251,0.621278039149635,0.632496137180564,0.603393280866373,0.614238419435461,0.626864832974621,0.638714903646444,0.646674810976825,0.620275659149757,0.608024236490951,0.596570290300916,0.585167693857174,0.573830313378824,0.562561951571617,0.551359321336325,0.540213886766251,0.529134929366504,0.518132013068759,0.50720759906845,0.516281674218698,0.525201516344312,0.537036404229454,0.54886597969556,0.560676037760887
1.8,0.614226577948689,0.626779994268507,0.638200423076913,0.603282111915217,0.614127881737633,0.626763123277305,0.638599160141879,0.648921428441038,0.620160751766394,0.607909115109008,0.59634612819741,0.584851172786441,0.573432506503952,0.562087159888802,0.550814393224725,0.539604801317856,0.528470222021671,0.5174171449299,0.506448748029435,0.51799640121568,0.529491744225927,0.541132319502147,0.55276887291052,0.56439299110971
1.9,0.615205254970501,0.62627444376457,0.637421777916694,0.635325528221603,0.645866343033609,0.626507478984239,0.637781363045461,0.648524372637165,0.619715666277973,0.607472753383917,0.595681686286802,0.583979253858614,0.572360535533342,0.560820130069335,0.549369078185046,0.537997450723769,0.526722151800517,0.515543595212277,0.504466148514669,0.515862026481153,0.52723428884034,0.538601508183002,0.549963192246872,0.561312813542663
2,0.611486735374027,0.620548244026639,0.631185093109617,0.641286236793618,0.651348954581323,0.638624435565468,0.637483416245825,0.648327957444935,0.619567351079056,0.607328167452896,0.595135494274522,0.582773150113178,0.570457822446057,0.558479951951115,0.546591719056321,0.534868764801683,0.523116093165018,0.511492538653312,0.500004698412748,0.511003670679404,0.522037495109651,0.533074987017245,0.544110177395835,0.555132591847847
2.1,0.584037643388177,0.521333719605038,0.531299467741507,0.540923004728902,0.550559942688203,0.559916500188837,0.550670830892942,0.561153923234356,0.536002832684048,0.522522462972695,0.508874664429118,0.494936402197323,0.481052931047461,0.467711632745832,0.454515115029391,0.441675649880568,0.42872726966677,0.416010450333841,0.40532737950823,0.415697253155904,0.426202747401986,0.436705693387082,0.447237329318301,0.457776300913263
2.2,0.242192607866268,0.176078023874361,0.186011571173053,0.19638489618409,0.206722954289624,0.21721589278816,0.226621967589215,0.236510611034435,0.225202406205544,0.207503280314684,0.190453453678549,0.174243177116552,0.158456280677497,0.142651913667047,0.127296198183011,0.112351699279075,0.0980128859163812,0.0841235529835285,0.0789509557576177,0.0888133556881823,0.0986533275210912,0.108481995939471,0.118326428107768,0.12818300110664
2.3,0.125317724423362,0.129043722839957,0.138809832946388,0.149213454770454,0.159542968520344,0.169887716098094,0.181038977163717,0.191012690557735,0.186467982872806,0.161260408364698,0.136961915245515,0.114009618067472,0.0917719991778589,0.0695637316799372,0.0481054678596474,0.0272502204398006,0.0150321105494813,0.012439697817483,0.0162669647339615,0.0256840955062177,0.0350040630371734,0.0443212851803821,0.0536324138439674,0.0629453229916461
2.4,0.257196085879099,0.429651842159993,0.438988127126497,0.449283284612666,0.459454484448288,0.469597958768137,0.480988546612275,0.490613917718758,0.483819777556279,0.452707114269984,0.414151673786274,0.377457641113513,0.341652733117509,0.305434304437327,0.270077516703501,0.242866781249876,0.214522389979604,0.194993630016884,0.198510828638697,0.208052617688099,0.217278461843707,0.226527940217834,0.23572574994038,0.244901908315106
2.5,0.885369084243121,1.1500174438171,1.15894402820284,1.16855474592613,1.1780634566289,1.18758406459646,1.19783218861857,1.20688949041166,1.19717368306163,1.17069741886717,1.13514373553506,1.10110808788061,1.06786009777157,1.03433586968178,1.00157167465658,0.977904901042401,0.94818363219017,0.923179435712782,0.922104933092355,0.931746631843095,0.940841901979038,0.949997065913754,0.959006720010279,0.967930521304298
2.6,2.25556427692251,2.26310960255317,2.2707344874107,2.2776916674668,2.28472883587717,2.29182647581522,2.29795976424081,2.30531031807573,2.29519913867404,2.28538391699865,2.2755627441048,2.26506709617572,2.25449058079591,2.24482426315586,2.23531162747919,2.22608469432806,2.2167869703085,2.2077004260865,2.19886938728904,2.20699254935542,2.21508903240429,2.22326265738621,2.23138977772566,2.23947928116106
2.7,2.84741525633177,2.85418095615004,2.86105062850371,2.86694300643182,2.87296925164897,2.87908558982154,2.88384451838235,2.89041619626169,2.89497424800701,2.89960105039559,2.9039312093794,2.9071083404888,2.91016446907345,2.91453708185187,2.91895369772939,2.92367584691642,2.92791710432521,2.93231914677384,2.93689083474443,2.9440733724375,2.95138106147242,2.95875229973152,2.966097436868,2.97341274309864
