"timestep","pft","num_agents"
659,"diatom",15.6
660,"diatom",15.6
661,"diatom",16
662,"diatom",16.15
663,"diatom",16.1
664,"diatom",16.4
665,"diatom",16.65
666,"diatom",16.95
667,"diatom",17.2
668,"diatom",17.55
669,"diatom",17.8
670,"diatom",17.6
671,"diatom",17.9
672,"diatom",18.05
673,"diatom",18.2
674,"diatom",18.65
675,"diatom",18.8
676,"diatom",18.8
677,"diatom",19
678,"diatom",19.2
679,"diatom",19.45
680,"diatom",19.25
681,"diatom",19.55
682,"diatom",19.4
683,"diatom",19.35
684,"diatom",19.45
685,"diatom",19.65
686,"diatom",19.6
687,"diatom",19.6
688,"diatom",19.7
689,"diatom",19.9
690,"diatom",19.95
691,"diatom",19.85
692,"diatom",20.3
693,"diatom",20.25
694,"diatom",20.15
695,"diatom",20.25
696,"diatom",20.55
697,"diatom",20.7
698,"diatom",21.05
699,"diatom",21.4
700,"diatom",21.1
701,"diatom",21.2
702,"diatom",20.95
703,"diatom",21
704,"diatom",21.25
705,"diatom",21.15
706,"diatom",21
707,"diatom",21.3
708,"diatom",21.25
709,"diatom",21.5
710,"diatom",21.45
711,"diatom",21.9
712,"diatom",21.75
713,"diatom",22.25
714,"diatom",22.3
715,"diatom",22.25
716,"diatom",22.8
717,"diatom",23.15
718,"diatom",23.45
719,"diatom",23.3
720,"diatom",23.5
721,"diatom",23.75
722,"diatom",23.5
723,"diatom",23.3
724,"diatom",22.85
725,"diatom",23.2
726,"diatom",23.85
727,"diatom",23.85
728,"diatom",23.3
729,"diatom",23.4
730,"diatom",23.2
731,"diatom",22.85
732,"diatom",22.55
733,"diatom",23.1
734,"diatom",23.2
735,"diatom",23.4
736,"diatom",23.8
737,"diatom",23.75
738,"diatom",23.45
739,"diatom",23.3
740,"diatom",23.55
741,"diatom",23.45
742,"diatom",23.45
743,"diatom",23.1
744,"diatom",23.05
745,"diatom",23
746,"diatom",23.05
747,"diatom",23.15
748,"diatom",22.95
749,"diatom",23.05
750,"diatom",23.05
751,"diatom",23
752,"diatom",22.95
753,"diatom",22.95
754,"diatom",22.85
755,"diatom",23
756,"diatom",22.8
757,"diatom",22.75
758,"diatom",22.6
759,"diatom",22.45
760,"diatom",22.5
761,"diatom",22.8
762,"diatom",22.75
763,"diatom",23.05
764,"diatom",22.65
765,"diatom",22.9
766,"diatom",22.7
767,"diatom",22.95
768,"diatom",22.55
769,"diatom",22.75
770,"diatom",22.85
771,"diatom",22.9
772,"diatom",23.2
773,"diatom",22.8
774,"diatom",23
775,"diatom",22.75
776,"diatom",22.65
777,"diatom",22.95
778,"diatom",22.75
779,"diatom",22.7
780,"diatom",22.35
781,"diatom",22.35
782,"diatom",22.4
783,"diatom",22.3
784,"diatom",21.75
785,"diatom",21.5
786,"diatom",21.45
787,"diatom",21.65
788,"diatom",21.5
789,"diatom",21.2
790,"diatom",21.35
791,"diatom",21.45
792,"diatom",21
793,"diatom",20.65
794,"diatom",20.4
795,"diatom",20.4
796,"diatom",20.4
797,"diatom",20.45
798,"diatom",20.4
799,"diatom",20.4
800,"diatom",20.3
801,"diatom",20.15
802,"diatom",20.2
803,"diatom",20.2
804,"diatom",20.3
805,"diatom",20.05
806,"diatom",19.8
807,"diatom",19.45
808,"diatom",19.65
809,"diatom",19.45
810,"diatom",19.15
811,"diatom",19.5
812,"diatom",19.65
813,"diatom",19.4
814,"diatom",19.15
815,"diatom",19.3
816,"diatom",19.3
817,"diatom",19.05
818,"diatom",18.9
819,"diatom",18.8
820,"diatom",18.7
821,"diatom",18.55
822,"diatom",18.4
823,"diatom",18.4
824,"diatom",18.05
825,"diatom",17.95
826,"diatom",18.35
827,"diatom",17.9
828,"diatom",17.65
829,"diatom",17.75
830,"diatom",17.15
831,"diatom",17.1
832,"diatom",17.1
833,"diatom",17.15
834,"diatom",17.05
835,"diatom",17.1
836,"diatom",17.25
837,"diatom",17.05
838,"diatom",16.95
839,"diatom",17.05
840,"diatom",16.8
841,"diatom",16.65
842,"diatom",16.65
843,"diatom",16.7
844,"diatom",16.45
845,"diatom",16.55
846,"diatom",16.45
847,"diatom",16.45
848,"diatom",16.25
849,"diatom",16.15
850,"diatom",15.9
851,"diatom",15.7
852,"diatom",15.65
853,"diatom",15.6
854,"diatom",15.1
855,"diatom",15.25
856,"diatom",15
857,"diatom",15.05
858,"diatom",14.7
859,"diatom",14.6
860,"diatom",14.75
861,"diatom",14.65
862,"diatom",14.6
863,"diatom",14.6
864,"diatom",14.65
865,"diatom",14.55
866,"diatom",14.3
867,"diatom",14.3
868,"diatom",14.3
869,"diatom",13.9
870,"diatom",14
871,"diatom",13.95
872,"diatom",13.8
873,"diatom",13.7
874,"diatom",13.6
875,"diatom",13.5
876,"diatom",13.5
877,"diatom",13.4
878,"diatom",13.35
879,"diatom",13.3
880,"diatom",13.5
881,"diatom",13.4
882,"diatom",13.2
883,"diatom",13.25
884,"diatom",13.15
885,"diatom",13.2
886,"diatom",13.1
887,"diatom",13.1
888,"diatom",12.95
889,"diatom",13.1
890,"diatom",12.9
891,"diatom",12.55
892,"diatom",12.6
893,"diatom",12.65
894,"diatom",12.35
895,"diatom",12.2
896,"diatom",12.3
897,"diatom",12.15
898,"diatom",12.1
899,"diatom",12.05
900,"diatom",12.15
901,"diatom",12.1
902,"diatom",12
903,"diatom",12
904,"diatom",11.8
905,"diatom",11.7
906,"diatom",11.6
907,"diatom",11.5
908,"diatom",11.45
909,"diatom",11.55
910,"diatom",11.5
911,"diatom",11.35
912,"diatom",11.2
913,"diatom",11.15
914,"diatom",11.15
915,"diatom",11.2
916,"diatom",11
917,"diatom",10.8
918,"diatom",10.75
919,"diatom",10.8
920,"diatom",10.8
921,"diatom",10.7
922,"diatom",10.75
923,"diatom",10.6
924,"diatom",10.15
925,"diatom",10.15
926,"diatom",10.05
927,"diatom",10.05
928,"diatom",9.85
929,"diatom",10.1
930,"diatom",10.1
931,"diatom",9.85
932,"diatom",9.9
933,"diatom",9.75
934,"diatom",9.65
935,"diatom",9.3
936,"diatom",9.45
937,"diatom",9.35
938,"diatom",9.3
939,"diatom",9.5
940,"diatom",9.2
941,"diatom",9.35
942,"diatom",9.35
943,"diatom",9.45
944,"diatom",9.3
945,"diatom",9.2
946,"diatom",9.3
947,"diatom",9.1
948,"diatom",8.85
949,"diatom",8.85
950,"diatom",8.6
951,"diatom",8.45
952,"diatom",8.35
953,"diatom",8.25
954,"diatom",8.35
955,"diatom",8.25
956,"diatom",8.1
957,"diatom",7.95
958,"diatom",7.95
959,"diatom",7.8
960,"diatom",7.75
961,"diatom",7.85
962,"diatom",7.75
963,"diatom",7.45
964,"diatom",7.35
965,"diatom",7.3
966,"diatom",7.25
967,"diatom",7.15
968,"diatom",7.2
969,"diatom",7.1
970,"diatom",7.05
971,"diatom",7
972,"diatom",6.95
973,"diatom",6.95
974,"diatom",7
975,"diatom",6.95
976,"diatom",6.85
977,"diatom",6.95
978,"diatom",6.9
979,"diatom",6.9
980,"diatom",6.75
981,"diatom",6.75
982,"diatom",6.8
983,"diatom",6.75
984,"diatom",6.8
985,"diatom",6.65
986,"diatom",6.6
987,"diatom",6.55
988,"diatom",6.6
989,"diatom",6.45
990,"diatom",6.35
991,"diatom",6.25
992,"diatom",6.2
993,"diatom",6.1
994,"diatom",6.05
995,"diatom",6.1
996,"diatom",6.05
997,"diatom",5.95
998,"diatom",6
999,"diatom",5.9
1000,"diatom",5.8
1001,"diatom",5.9
1002,"diatom",5.85
1003,"diatom",5.85
1004,"diatom",5.8
1005,"diatom",5.6
1006,"diatom",5.45
1007,"diatom",5.4
1008,"diatom",5.4
1009,"diatom",5.4
1010,"diatom",5.4
1011,"diatom",5.2
1012,"diatom",5.15
1013,"diatom",5.1
1014,"diatom",5.1
1015,"diatom",5
1016,"diatom",5.1
1017,"diatom",4.95
1018,"diatom",4.8
1019,"diatom",4.65
1020,"diatom",4.6
1021,"diatom",4.5
1022,"diatom",4.45
1023,"diatom",4.45
1024,"diatom",4.4
1025,"diatom",4.35
1026,"diatom",4.3
1027,"diatom",4.35
1028,"diatom",4.25
1029,"diatom",4.2
1030,"diatom",4.05
1031,"diatom",4.05
1032,"diatom",4.15
1033,"diatom",4.1
1034,"diatom",4.15
1035,"diatom",4.2
1036,"diatom",4.05
1037,"diatom",3.95
1038,"diatom",3.9
1039,"diatom",3.9
1040,"diatom",3.95
1041,"diatom",3.7
1042,"diatom",3.7
1043,"diatom",3.6
1044,"diatom",3.5
1045,"diatom",3.45
1046,"diatom",3.45
1047,"diatom",3.4
1048,"diatom",3.4
1049,"diatom",3.4
1050,"diatom",3.35
1051,"diatom",3.3
1052,"diatom",3.3
1053,"diatom",3.25
1054,"diatom",3.25
1055,"diatom",3.25
1056,"diatom",3.2
1057,"diatom",3.1
1058,"diatom",3.1
1059,"diatom",3
1060,"diatom",3
1061,"diatom",2.9
1062,"diatom",2.9
1063,"diatom",2.85
1064,"diatom",2.75
1065,"diatom",2.75
1066,"diatom",2.7
1067,"diatom",2.7
1068,"diatom",2.5
1069,"diatom",2.6
1070,"diatom",2.55
1071,"diatom",2.5
1072,"diatom",2.45
1073,"diatom",2.5
1074,"diatom",2.5
1075,"diatom",2.45
1076,"diatom",2.45
1077,"diatom",2.45
1078,"diatom",2.5
1079,"diatom",2.45
1080,"diatom",2.45
1,"cyano",2.35
2,"cyano",2.7
3,"cyano",3.5
4,"cyano",3.9
5,"cyano",4.05
6,"cyano",4.4
7,"cyano",4.55
8,"cyano",4.75
9,"cyano",4.75
10,"cyano",5
11,"cyano",5.05
12,"cyano",5.1
13,"cyano",5.2
14,"cyano",5.15
15,"cyano",5.15
16,"cyano",5.35
17,"cyano",5.25
18,"cyano",5.25
19,"cyano",5.2
20,"cyano",5.25
21,"cyano",5.4
22,"cyano",5.25
23,"cyano",5.25
24,"cyano",5.15
25,"cyano",5.05
26,"cyano",4.95
27,"cyano",4.9
28,"cyano",5.05
29,"cyano",5.1
30,"cyano",5
31,"cyano",5
32,"cyano",4.95
33,"cyano",4.7
34,"cyano",4.65
35,"cyano",4.6
36,"cyano",4.5
37,"cyano",4.55
38,"cyano",4.55
39,"cyano",4.55
40,"cyano",4.65
41,"cyano",4.6
42,"cyano",4.65
43,"cyano",4.65
44,"cyano",4.65
45,"cyano",4.7
46,"cyano",4.45
47,"cyano",4.6
48,"cyano",4.55
49,"cyano",4.45
50,"cyano",4.45
51,"cyano",4.35
52,"cyano",4.4
53,"cyano",4.35
54,"cyano",4.35
55,"cyano",4.35
56,"cyano",4.4
57,"cyano",4.4
58,"cyano",4.35
59,"cyano",4.25
60,"cyano",4.25
61,"cyano",4.15
62,"cyano",4
63,"cyano",4.1
64,"cyano",4.15
65,"cyano",4.15
66,"cyano",4
67,"cyano",4
68,"cyano",4.05
69,"cyano",4.05
70,"cyano",4
71,"cyano",4.05
72,"cyano",4
73,"cyano",3.95
74,"cyano",3.95
75,"cyano",4
76,"cyano",3.85
77,"cyano",3.8
78,"cyano",3.75
79,"cyano",3.85
80,"cyano",3.85
81,"cyano",3.85
82,"cyano",3.85
83,"cyano",3.75
84,"cyano",3.8
85,"cyano",3.65
86,"cyano",3.7
87,"cyano",3.75
88,"cyano",3.65
89,"cyano",3.6
90,"cyano",3.7
91,"cyano",3.75
92,"cyano",3.75
93,"cyano",3.85
94,"cyano",3.8
95,"cyano",3.75
96,"cyano",3.7
97,"cyano",3.7
98,"cyano",3.75
99,"cyano",3.55
100,"cyano",3.5
101,"cyano",3.5
102,"cyano",3.45
103,"cyano",3.6
104,"cyano",3.4
105,"cyano",3.45
106,"cyano",3.45
107,"cyano",3.3
108,"cyano",3.35
109,"cyano",3.35
110,"cyano",3.4
111,"cyano",3.15
112,"cyano",3.3
113,"cyano",3.35
114,"cyano",3.3
115,"cyano",3.25
116,"cyano",3.2
117,"cyano",3.2
118,"cyano",3.15
119,"cyano",3.1
120,"cyano",3.2
121,"cyano",3.05
122,"cyano",3.1
123,"cyano",3
124,"cyano",3.1
125,"cyano",3.05
126,"cyano",3.05
127,"cyano",3.1
128,"cyano",2.95
129,"cyano",2.8
130,"cyano",2.9
131,"cyano",2.95
132,"cyano",2.95
133,"cyano",2.85
134,"cyano",2.8
135,"cyano",2.75
136,"cyano",2.65
137,"cyano",2.65
138,"cyano",2.75
139,"cyano",2.7
140,"cyano",2.85
141,"cyano",2.75
142,"cyano",2.7
143,"cyano",2.7
144,"cyano",2.85
145,"cyano",2.9
146,"cyano",2.85
147,"cyano",2.9
148,"cyano",2.75
149,"cyano",2.75
150,"cyano",2.7
151,"cyano",2.7
152,"cyano",2.65
153,"cyano",2.6
154,"cyano",2.45
155,"cyano",2.55
156,"cyano",2.5
157,"cyano",2.55
158,"cyano",2.5
159,"cyano",2.6
160,"cyano",2.6
161,"cyano",2.6
162,"cyano",2.55
163,"cyano",2.55
164,"cyano",2.65
165,"cyano",2.7
166,"cyano",2.65
167,"cyano",2.7
168,"cyano",2.75
169,"cyano",2.75
170,"cyano",2.75
171,"cyano",2.75
172,"cyano",2.7
173,"cyano",2.7
174,"cyano",2.65
175,"cyano",2.75
176,"cyano",2.85
177,"cyano",2.8
178,"cyano",2.8
179,"cyano",2.75
180,"cyano",2.8
181,"cyano",2.8
182,"cyano",2.85
183,"cyano",2.85
184,"cyano",2.95
185,"cyano",3
186,"cyano",2.8
187,"cyano",2.85
188,"cyano",2.9
189,"cyano",3.05
190,"cyano",3.15
191,"cyano",3.3
192,"cyano",3.2
193,"cyano",3.4
