"timestep","pft","prop_agents"
89,"diatom_prop",16.628701594533
90,"diatom_prop",16.6292134831461
91,"diatom_prop",16.4044943820225
92,"diatom_prop",16.7037861915368
93,"diatom_prop",16.5562913907285
94,"diatom_prop",16.1862527716186
95,"diatom_prop",16.331096196868
96,"diatom_prop",16.5532879818594
97,"diatom_prop",16.289592760181
98,"diatom_prop",16.5909090909091
99,"diatom_prop",17.2018348623853
100,"diatom_prop",16.628701594533
101,"diatom_prop",16.8591224018476
102,"diatom_prop",16.7832167832168
103,"diatom_prop",16.3594470046083
104,"diatom_prop",16.5898617511521
105,"diatom_prop",16.6276346604215
106,"diatom_prop",17.0212765957447
107,"diatom_prop",16.7452830188679
108,"diatom_prop",16.7452830188679
109,"diatom_prop",17.3302107728337
110,"diatom_prop",16.3551401869159
111,"diatom_prop",16.7058823529412
112,"diatom_prop",16.8618266978923
113,"diatom_prop",16.588785046729
114,"diatom_prop",17.2494172494173
115,"diatom_prop",17.0212765957447
116,"diatom_prop",17.4940898345154
117,"diatom_prop",17.3809523809524
118,"diatom_prop",17.7458033573141
119,"diatom_prop",17.5903614457831
120,"diatom_prop",17.8313253012048
121,"diatom_prop",17.8048780487805
122,"diatom_prop",17.7339901477833
123,"diatom_prop",18.1592039800995
124,"diatom_prop",18.5819070904645
125,"diatom_prop",17.5609756097561
126,"diatom_prop",17.3493975903614
127,"diatom_prop",17.4940898345154
128,"diatom_prop",17.7033492822967
129,"diatom_prop",18.0288461538462
130,"diatom_prop",18.2481751824818
131,"diatom_prop",18.2481751824818
132,"diatom_prop",18.6440677966102
133,"diatom_prop",19.5180722891566
134,"diatom_prop",19.2214111922141
135,"diatom_prop",18.8405797101449
136,"diatom_prop",19.1646191646192
137,"diatom_prop",19.1747572815534
138,"diatom_prop",19.0821256038647
139,"diatom_prop",18.6440677966102
140,"diatom_prop",18.705035971223
141,"diatom_prop",18.5096153846154
142,"diatom_prop",18.5714285714286
143,"diatom_prop",18.7648456057007
144,"diatom_prop",18.7648456057007
145,"diatom_prop",18.7951807228916
146,"diatom_prop",18.75
147,"diatom_prop",18.7203791469194
148,"diatom_prop",18.854415274463
149,"diatom_prop",19.1943127962085
150,"diatom_prop",18.75
151,"diatom_prop",19.7560975609756
152,"diatom_prop",19.2682926829268
153,"diatom_prop",20.049504950495
154,"diatom_prop",19.5061728395062
155,"diatom_prop",19.1646191646192
156,"diatom_prop",19.25
157,"diatom_prop",19.6029776674938
158,"diatom_prop",19.8019801980198
159,"diatom_prop",19.3704600484262
160,"diatom_prop",18.8118811881188
161,"diatom_prop",19.2019950124688
162,"diatom_prop",19.5488721804511
163,"diatom_prop",19.6969696969697
164,"diatom_prop",19.8992443324937
165,"diatom_prop",19.75
166,"diatom_prop",20.3517587939699
167,"diatom_prop",19.9004975124378
168,"diatom_prop",20.0980392156863
169,"diatom_prop",19.4103194103194
170,"diatom_prop",19.2118226600985
171,"diatom_prop",18.8585607940447
172,"diatom_prop",18.9526184538653
173,"diatom_prop",19
174,"diatom_prop",19.559902200489
175,"diatom_prop",19.7530864197531
176,"diatom_prop",19.0594059405941
177,"diatom_prop",19.4103194103194
178,"diatom_prop",18.8118811881188
179,"diatom_prop",18.1818181818182
180,"diatom_prop",18.4466019417476
181,"diatom_prop",19.0361445783133
182,"diatom_prop",19.047619047619
183,"diatom_prop",19.3396226415094
184,"diatom_prop",19.7674418604651
185,"diatom_prop",20.3703703703704
186,"diatom_prop",20.763723150358
187,"diatom_prop",20.5188679245283
188,"diatom_prop",20.5128205128205
189,"diatom_prop",20.2733485193622
190,"diatom_prop",20.2702702702703
191,"diatom_prop",20.1342281879195
192,"diatom_prop",20.6208425720621
193,"diatom_prop",20.3904555314534
194,"diatom_prop",19.7396963123644
195,"diatom_prop",19.9143468950749
196,"diatom_prop",19.9143468950749
197,"diatom_prop",19.9570815450644
198,"diatom_prop",20.0854700854701
199,"diatom_prop",19.9575371549894
200,"diatom_prop",19.7033898305085
201,"diatom_prop",20.0417536534447
202,"diatom_prop",20.1646090534979
203,"diatom_prop",20.4918032786885
204,"diatom_prop",19.959266802444
205,"diatom_prop",19.9186991869919
206,"diatom_prop",19.8
207,"diatom_prop",19.8019801980198
208,"diatom_prop",19.7628458498024
209,"diatom_prop",19.9203187250996
210,"diatom_prop",19.7628458498024
211,"diatom_prop",19.8039215686275
212,"diatom_prop",19.9612403100775
213,"diatom_prop",20
214,"diatom_prop",19.6531791907514
215,"diatom_prop",19.4605009633911
216,"diatom_prop",20.3125
217,"diatom_prop",19.9226305609284
218,"diatom_prop",19.6153846153846
219,"diatom_prop",19.6940726577438
220,"diatom_prop",19.5445920303605
221,"diatom_prop",18.7022900763359
222,"diatom_prop",18.9493433395872
223,"diatom_prop",18.3177570093458
224,"diatom_prop",18.4014869888476
225,"diatom_prop",18.348623853211
226,"diatom_prop",18.7845303867403
227,"diatom_prop",18.6471663619744
228,"diatom_prop",18.705035971223
229,"diatom_prop",18.7725631768953
230,"diatom_prop",19.0391459074733
231,"diatom_prop",19.0053285968028
232,"diatom_prop",18.5314685314685
